name,url,image
Auckland University of Technology,https://www.bachelorsportal.com/universities/14486/auckland-university-of-technology.html,"https://storage-prtl-co.imgix.net/mp/5de0e6e71687.png?fit=fill&fill=solid&fill-color=00FFFFFF&w=48&h=48&auto=format,compress"
Audencia,https://www.bachelorsportal.com/universities/650/audencia.html,"https://storage-prtl-co.imgix.net/mp/5de0e8a06418.png?fit=fill&fill=solid&fill-color=00FFFFFF&w=48&h=48&auto=format,compress"
Augsburg University,https://www.bachelorsportal.com/universities/16669/augsburg-university.html,
Augusta University,https://www.bachelorsportal.com/universities/15057/augusta-university.html,
Augustana College,https://www.bachelorsportal.com/universities/17062/augustana-college.html,
Augustana University,https://www.bachelorsportal.com/universities/16573/augustana-university.html,
Auguste Escoffier School of Culinary Arts,https://www.bachelorsportal.com/universities/24349/auguste-escoffier-school-of-culinary-arts.html,
Aurora University,https://www.bachelorsportal.com/universities/17486/aurora-university.html,
Austin College,https://www.bachelorsportal.com/universities/17384/austin-college.html,
Australian Catholic University (ACU),https://www.bachelorsportal.com/universities/11878/australian-catholic-university.html,"https://storage-prtl-co.imgix.net/endor/organisations/11878/logos/sq-11878.png?fit=fill&fill=solid&fill-color=00FFFFFF&w=48&h=48&auto=format,compress"
Australian City Design College,https://www.bachelorsportal.com/universities/19849/australian-city-design-college.html,
Avans University of Applied Sciences,https://www.bachelorsportal.com/universities/715/avans-university-of-applied-sciences.html,"https://storage-prtl-co.imgix.net/mp/5de0e8b35d70.png?fit=fill&fill=solid&fill-color=00FFFFFF&w=48&h=48&auto=format,compress"
Avila University,https://www.bachelorsportal.com/universities/18027/avila-university.html,
Avondale University,https://www.bachelorsportal.com/universities/23253/avondale-university.html,
Azusa Pacific University,https://www.bachelorsportal.com/universities/16708/azusa-pacific-university.html,
Babes-Bolyai University,https://www.bachelorsportal.com/universities/538/babes-bolyai-university.html,
Babson College,https://www.bachelorsportal.com/universities/15170/babson-college.html,"https://storage-prtl-co.imgix.net/mp/5de0e701edd2.png?fit=fill&fill=solid&fill-color=00FFFFFF&w=48&h=48&auto=format,compress"
Bahçeşehir University (BAU),https://www.bachelorsportal.com/universities/969/baheehir-university.html,
Baldwin Wallace University,https://www.bachelorsportal.com/universities/17368/baldwin-wallace-university.html,
Ball State University,https://www.bachelorsportal.com/universities/14211/ball-state-university.html,
Bangkok University,https://www.bachelorsportal.com/universities/23702/bangkok-university.html,
Bangladesh University of Engineering and Technology,https://www.bachelorsportal.com/universities/21471/bangladesh-university-of-engineering-and-technology.html,
Bangor University,https://www.bachelorsportal.com/universities/427/bangor-university.html,"https://storage-prtl-co.imgix.net/mp/5de0e8561c6a.png?fit=fill&fill=solid&fill-color=00FFFFFF&w=48&h=48&auto=format,compress"
Bar Ilan University,https://www.bachelorsportal.com/universities/9334/bar-ilan-university.html,
Bard College,https://www.bachelorsportal.com/universities/16720/bard-college.html,
Bard College at Simon's Rock,https://www.bachelorsportal.com/universities/16884/bard-college-at-simons-rock.html,
Bard College Berlin a Liberal Arts University,https://www.bachelorsportal.com/universities/936/bard-college-berlin-a-liberal-arts-university.html,
Barnard College Columbia University,https://www.bachelorsportal.com/universities/16862/barnard-college-columbia-university.html,
Barry University,https://www.bachelorsportal.com/universities/16358/barry-university.html,
Baruch College,https://www.bachelorsportal.com/universities/21319/baruch-college.html,
Baskent University,https://www.bachelorsportal.com/universities/16401/baskent-university.html,
Bastyr University,https://www.bachelorsportal.com/universities/17371/bastyr-university.html,
Bath Spa University,https://www.bachelorsportal.com/universities/144/bath-spa-university.html,
Batterjee Medical Colleges,https://www.bachelorsportal.com/universities/23084/batterjee-medical-colleges.html,"https://storage-prtl-co.imgix.net/endor/organisations/23084/images/1719301656_bmc_logo_jed-02-1.jpg?fit=fill&fill=solid&fill-color=00FFFFFF&w=48&h=48&auto=format,compress"
Bay Atlantic University,https://www.bachelorsportal.com/universities/19383/bay-atlantic-university.html,
Bay Path University,https://www.bachelorsportal.com/universities/16875/bay-path-university.html,
